group_id,org_id,project_id,issue_id,status
,ad279fcc-f345-4de4-a84f-8d2937a5afab,06c50e04-95ab-49b7-9485-a743e7a32200,4339168929,IGNORED
,ad279fcc-f345-4de4-a84f-8d2937a5afab,06c50e04-95ab-49b7-9485-a743e7a32200,4339168930,IGNORED
,ad279fcc-f345-4de4-a84f-8d2937a5afab,06c50e04-95ab-49b7-9485-a743e7a32200,4339168931,IGNORED
,ad279fcc-f345-4de4-a84f-8d2937a5afab,06c50e04-95ab-49b7-9485-a743e7a32200,4339168932,IGNORED
,ad279fcc-f345-4de4-a84f-8d2937a5afab,06c50e04-95ab-49b7-9485-a743e7a32200,4339168933,IGNORED
,ad279fcc-f345-4de4-a84f-8d2937a5afab,06c50e04-95ab-49b7-9485-a743e7a32200,4339168934,IGNORED
,ad279fcc-f345-4de4-a84f-8d2937a5afab,06c50e04-95ab-49b7-9485-a743e7a32200,4339168935,IGNORED
,ad279fcc-f345-4de4-a84f-8d2937a5afab,06c50e04-95ab-49b7-9485-a743e7a32200,4339168936,IGNORED
,ad279fcc-f345-4de4-a84f-8d2937a5afab,06c50e04-95ab-49b7-9485-a743e7a32200,4339168937,IGNORED
,ad279fcc-f345-4de4-a84f-8d2937a5afab,06c50e04-95ab-49b7-9485-a743e7a32200,4339168938,IGNORED
,ad279fcc-f345-4de4-a84f-8d2937a5afab,200c0dc2-6178-4fd8-a36c-2187af9748ac,SNYK-JAVA-COMMONSCOLLECTIONS-30078,IGNORED
,ad279fcc-f345-4de4-a84f-8d2937a5afab,200c0dc2-6178-4fd8-a36c-2187af9748ac,SNYK-JAVA-COMMONSCOLLECTIONS-472711,IGNORED
,ad279fcc-f345-4de4-a84f-8d2937a5afab,200c0dc2-6178-4fd8-a36c-2187af9748ac,SNYK-JAVA-COMMONSCOLLECTIONS-6056408,IGNORED
,ad279fcc-f345-4de4-a84f-8d2937a5afab,3c651765-f7b0-4b41-90d6-68d1fa83fc78,4339168972,IGNORED
,ad279fcc-f345-4de4-a84f-8d2937a5afab,3c651765-f7b0-4b41-90d6-68d1fa83fc78,4339168973,IGNORED
,ad279fcc-f345-4de4-a84f-8d2937a5afab,3c651765-f7b0-4b41-90d6-68d1fa83fc78,4339168974,IGNORED
,ad279fcc-f345-4de4-a84f-8d2937a5afab,3c651765-f7b0-4b41-90d6-68d1fa83fc78,4339168975,IGNORED
,ad279fcc-f345-4de4-a84f-8d2937a5afab,3c651765-f7b0-4b41-90d6-68d1fa83fc78,4339168976,IGNORED
,ad279fcc-f345-4de4-a84f-8d2937a5afab,3c651765-f7b0-4b41-90d6-68d1fa83fc78,4339168977,IGNORED
,ad279fcc-f345-4de4-a84f-8d2937a5afab,3c651765-f7b0-4b41-90d6-68d1fa83fc78,4339168978,IGNORED
,ad279fcc-f345-4de4-a84f-8d2937a5afab,3c651765-f7b0-4b41-90d6-68d1fa83fc78,4339168979,IGNORED
0708d6a5-c79a-4f28-9fde-b7126a5c7252,ad279fcc-f345-4de4-a84f-8d2937a5afab,993d6896-224b-417a-ae1d-5dac51cdfa76,SNYK-JS-INFLIGHT-6095116,IGNORED
,ad279fcc-f345-4de4-a84f-8d2937a5afab,a02c0b5a-6b76-447b-99cb-13c84583498b,4339169430,IGNORED
,ad279fcc-f345-4de4-a84f-8d2937a5afab,a02c0b5a-6b76-447b-99cb-13c84583498b,4339169431,IGNORED
,ad279fcc-f345-4de4-a84f-8d2937a5afab,a02c0b5a-6b76-447b-99cb-13c84583498b,4339169432,IGNORED
,ad279fcc-f345-4de4-a84f-8d2937a5afab,a02c0b5a-6b76-447b-99cb-13c84583498b,4339169433,IGNORED
,ad279fcc-f345-4de4-a84f-8d2937a5afab,a02c0b5a-6b76-447b-99cb-13c84583498b,4339169434,IGNORED
,ad279fcc-f345-4de4-a84f-8d2937a5afab,a02c0b5a-6b76-447b-99cb-13c84583498b,4339169435,IGNORED
,ad279fcc-f345-4de4-a84f-8d2937a5afab,a02c0b5a-6b76-447b-99cb-13c84583498b,4339169436,IGNORED
,ad279fcc-f345-4de4-a84f-8d2937a5afab,a02c0b5a-6b76-447b-99cb-13c84583498b,4339169437,IGNORED
,ad279fcc-f345-4de4-a84f-8d2937a5afab,a8fb8987-7e42-4041-b515-d8801c4f35b8,SNYK-JAVA-ORGSPRINGFRAMEWORK-12008931,IGNORED
,ad279fcc-f345-4de4-a84f-8d2937a5afab,a8fb8987-7e42-4041-b515-d8801c4f35b8,SNYK-JAVA-ORGSPRINGFRAMEWORK-12817817,IGNORED
,ad279fcc-f345-4de4-a84f-8d2937a5afab,a8fb8987-7e42-4041-b515-d8801c4f35b8,SNYK-JAVA-ORGSPRINGFRAMEWORK-16109618,IGNORED
,ad279fcc-f345-4de4-a84f-8d2937a5afab,a8fb8987-7e42-4041-b515-d8801c4f35b8,SNYK-JAVA-ORGSPRINGFRAMEWORK-2329097,IGNORED
,ad279fcc-f345-4de4-a84f-8d2937a5afab,a8fb8987-7e42-4041-b515-d8801c4f35b8,SNYK-JAVA-ORGSPRINGFRAMEWORK-2330878,IGNORED
,ad279fcc-f345-4de4-a84f-8d2937a5afab,a8fb8987-7e42-4041-b515-d8801c4f35b8,SNYK-JAVA-ORGSPRINGFRAMEWORK-2436751,IGNORED
,ad279fcc-f345-4de4-a84f-8d2937a5afab,a8fb8987-7e42-4041-b515-d8801c4f35b8,SNYK-JAVA-ORGSPRINGFRAMEWORK-2689634,IGNORED
,ad279fcc-f345-4de4-a84f-8d2937a5afab,a8fb8987-7e42-4041-b515-d8801c4f35b8,SNYK-JAVA-ORGSPRINGFRAMEWORK-2823313,IGNORED
,ad279fcc-f345-4de4-a84f-8d2937a5afab,a8fb8987-7e42-4041-b515-d8801c4f35b8,SNYK-JAVA-ORGSPRINGFRAMEWORK-31325,IGNORED
,ad279fcc-f345-4de4-a84f-8d2937a5afab,a8fb8987-7e42-4041-b515-d8801c4f35b8,SNYK-JAVA-ORGSPRINGFRAMEWORK-8230364,IGNORED
,ad279fcc-f345-4de4-a84f-8d2937a5afab,a8fb8987-7e42-4041-b515-d8801c4f35b8,SNYK-JAVA-ORGSPRINGFRAMEWORK-8230365,IGNORED
,ad279fcc-f345-4de4-a84f-8d2937a5afab,b908c277-c9f0-4015-9df2-43c7e62b53e0,4339169666,IGNORED
,ad279fcc-f345-4de4-a84f-8d2937a5afab,b908c277-c9f0-4015-9df2-43c7e62b53e0,4339169667,IGNORED
,ad279fcc-f345-4de4-a84f-8d2937a5afab,b908c277-c9f0-4015-9df2-43c7e62b53e0,4339169668,IGNORED
,ad279fcc-f345-4de4-a84f-8d2937a5afab,b908c277-c9f0-4015-9df2-43c7e62b53e0,4339169669,IGNORED
,ad279fcc-f345-4de4-a84f-8d2937a5afab,b908c277-c9f0-4015-9df2-43c7e62b53e0,4339169670,IGNORED
,ad279fcc-f345-4de4-a84f-8d2937a5afab,b908c277-c9f0-4015-9df2-43c7e62b53e0,4339169671,IGNORED
,ad279fcc-f345-4de4-a84f-8d2937a5afab,b908c277-c9f0-4015-9df2-43c7e62b53e0,4339169672,IGNORED
,ad279fcc-f345-4de4-a84f-8d2937a5afab,b908c277-c9f0-4015-9df2-43c7e62b53e0,4339169673,IGNORED
,ad279fcc-f345-4de4-a84f-8d2937a5afab,b908c277-c9f0-4015-9df2-43c7e62b53e0,4339169674,IGNORED
,ad279fcc-f345-4de4-a84f-8d2937a5afab,cc21912c-fad9-40ae-91ba-2d5795439492,4339169675,IGNORED
,ad279fcc-f345-4de4-a84f-8d2937a5afab,cc21912c-fad9-40ae-91ba-2d5795439492,4339169676,IGNORED
,ad279fcc-f345-4de4-a84f-8d2937a5afab,cc21912c-fad9-40ae-91ba-2d5795439492,4339169677,IGNORED
,ad279fcc-f345-4de4-a84f-8d2937a5afab,cc21912c-fad9-40ae-91ba-2d5795439492,4339169678,IGNORED
,ad279fcc-f345-4de4-a84f-8d2937a5afab,cc21912c-fad9-40ae-91ba-2d5795439492,4339169679,IGNORED
,ad279fcc-f345-4de4-a84f-8d2937a5afab,cc21912c-fad9-40ae-91ba-2d5795439492,4339169680,IGNORED
,ad279fcc-f345-4de4-a84f-8d2937a5afab,cc21912c-fad9-40ae-91ba-2d5795439492,4339169681,IGNORED
